"0","1","2","3","4","5","6","7","8"
"STAI Nahdlatul Ulama (STAINU), Purworejo, Jawa Tengah","Pendidikan Guru Madrasah Ibtidaiyah","S1","","2473/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-16","Masih berlaku"
"Universitas Pendidikan Ganesha","Survey Dan Pemetaan","D-III","","2420/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","B","2024-07-16","Masih berlaku"
"Universitas Islam Kalimantan Muhammad Arsyad Al Banjari Banjarmasin","Pendidikan Olahraga","S1","11","2467/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-16","Masih berlaku"
"Universitas Halu Oleo","Bioteknologi","S1","","2435/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-16","Masih berlaku"
"IAIN Purwokerto","Studi Agama-Agama","S1","","2408/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-16","Masih berlaku"
"IAIN Bukittinggi","Manajemen Bisnis Syariah","S1","","2433/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-16","Masih berlaku"
"Universitas Alwashliyah","Pendidikan Guru Raudhatul Athfal","S1","01","2470/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-16","Masih berlaku"
"Universitas Pahlawan Tuanku Tambusai","Pendidikan Guru Sekolah Dasar","S1","10","2400/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-16","Masih berlaku"
"Universitas Warmadewa","Arsitektur","S1","08","2392/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-16","Masih berlaku"
"Universitas Katolik De La Salle","Manajemen","S1","16","2410/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-16","Masih berlaku"
"Universitas Persada Indonesia Yai","Desain Komunikasi Visual","S1","03","2382/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-16","Masih berlaku"
"Universitas Islam Makassar","PG PAUD","S1","09","2402/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-16","Masih berlaku"
"Universitas Nahdlatul Wathan Mataram","Pendidikan Ekonomi","S1","08","2440/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-16","Masih berlaku"
"Universitas Surabaya","Teknik Elektro","S1","07","2386/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-16","Masih berlaku"
"Universitas Islam Negeri Raden Fatah Palembang","Manajemen Dakwah","S1","","2413/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-16","Masih berlaku"
"IAIN Bengkulu","Tadris IPA","S1","","2461/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-16","Masih berlaku"
"Universitas Muhammadiyah Pare-pare","Ilmu Hukum","S1","09","2436/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-16","Masih berlaku"
"Institut Teknologi Nasional Malang","Perencanaan Wilayah Dan Kota","S1","07","2383/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-16","Masih berlaku"
"IAIN Bengkulu","Tadris Bahasa Indonesia","S1","","2450/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-16","Masih berlaku"
"Politeknik Jambi","Teknik Elektronika","D-III","10","2482/SK/BAN-PT/Akred/Dipl-III/VII/2019","2019","B","2024-07-16","Masih berlaku"
"Institut Pesantren KH. Abdul Chalim Pacet Mojokerto","Pendidikan Islam Anak Usia Dini","S1","","2492/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-16","Masih berlaku"
"STAI Miftahul Ulum Tarate Pandian Sumenep","Pendidikan Guru Madrasah Ibtidaiyah","S1","","2466/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-16","Masih berlaku"
